date;WT1;WT2;WT3;WT4;WT5;WT6;WT7;WT8
1994-09-16;0;0.075224983587518;0.083028631188074;0.448756811524705;0.014521921693485;0;0;0.378467652006218
2011-06-19;0;0.474904927608158;0.139070320686905;0.096162266083906;0.129000425238641;0;0.024441026588535;0.136421033793854
1992-07-05;0.028976195526902;0.138654965353493;0.421833696913598;0.014235667796674;0.108840376072057;0;0.207922304561562;0.079536793775715
1988-07-02;0;0.287138205594196;0.144156852626121;0.13323538415442;0;0;0.200337069806088;0.235132487819174
2010-05-07;0;0.358145242958006;0;0;0;0;0;0.641854757041993
1990-06-22;0.102235696900015;0.039132681300126;0.50269486279227;0.107546649247588;0.026390609992327;0;0;0.221999499767674
1988-07-04;0;0.263182700214172;0.132130064858516;0.205548242609238;0;0;0.183623251651424;0.21551574066665
1996-07-09;0;0.796076065462552;0;0;0;0;0;0.203923934537448
1997-06-23;0.061002179336884;0;0.051215781491966;0.379659421577094;0.027938719688843;0;0;0.480183897905213
2008-07-08;0;0.154808041756375;0.102144920597184;0.542721418958346;0.147140412229193;0;0;0.053185206458902
1986-04-28;0.089550532997936;0.010057676979042;0.079696188443815;0.278745535421258;0;0;0;0.541950066157949
1982-09-08;0;0.143394607086145;0;0;0.698630401539516;0;0.15797499137434;0
2000-11-08;0;0.254160128283623;0.096715268564953;0;0.117188626726746;0;0.008641366299648;0.52329461012503
2010-05-14;0;0.447627123859449;0;0;0.018424030480517;0;0;0.533948845660034
1999-10-05;0;0.273570775560015;0.010899851606493;0.573440086462019;0.001345060215144;0;0.001896510723904;0.138847715432426
1987-10-17;0.008695161740863;0.025499092206886;0.249367527073044;0.318873600891789;0.067201853310744;0;0;0.330362764776675
1988-10-15;0;0;0;0.086195511003972;0;0;0;0.913804488996028
1991-10-01;0;0;0;0;0.121128363928115;0;0;0.878871636071885
1996-11-16;0;0.01117548885747;0;0;0;0;0.301866565511933;0.686957945630597
1999-10-27;0;0.121457285918214;0.010715897053295;0.485472185958884;0;0;0;0.382354631069607
1981-07-19;0;0.754343379452214;0;0.149375123492561;0;0;0;0.096281497055225
1981-09-29;0;0.053479809305206;0.018052012526069;0.15880528584052;0.354107945795487;0;0;0.415554946532718
1986-05-30;0;0.074647157475811;0.105455423328946;0.418267140433121;0.031304417599065;0;0;0.370325861163057
2008-07-15;0;0.078306306284173;0.051667803215567;0.244055720799815;0.172038097082268;0;0;0.453932072618178
2000-10-17;0;0.010060517032722;0.238442499109063;0.006152188116442;0.192807254358738;0;0.015563960994427;0.536973580388608
2000-11-18;0;0.313449201565748;0.011282522779468;0;0.055476633756796;0;0.004090788728856;0.615700853169132
1983-05-24;0;0.029430964761091;0.044112673849404;0.730743428574303;0.066880495797726;0;0;0.128832437017475
1997-07-01;0.018237003743892;0.005440128554087;0.015311295579412;0.103040348749368;0;0;0;0.857971223373241
1987-07-21;0;0.098667860638669;0.153651993309955;0;0.017516165014257;0;0;0.73016398103712
2002-11-28;0;0.000775034485375;0.183932789460806;0.285192064806387;0.007619035486582;0;0;0.52248107576085
1993-10-15;0;0;0.052515945156328;0.25561200212293;0;0;0;0.691872052720743
