peak_date;peak_cm;duration_days;severity_cm_days;date_last_rainfall;mode
1981-05-28;51.47205396878;7;307.852605398228;1981-05-25;C
1981-07-19;38.57694252264;5;232.829824140761;1981-07-17;B
1981-09-29;36.220198634305;5;240.894609903931;1981-09-26;A
1982-06-13;20.213606192536;2;149.717340724528;1982-06-11;C
1982-09-08;9.874565265708;2;135.378231466413;1982-09-05;A
1983-05-24;90.334956950304;17;905.37488686305;1983-05-21;B
1985-06-08;3.53851302363;2;125.541509809496;1985-06-07;C
1986-04-28;7.00941982730102;3;135.021659494465;1986-04-28;E
1986-05-30;19.554399735707;11;259.510345564457;1986-05-27;E
1987-06-10;30.563664057568;4;205.696227796783;1987-06-08;D
1987-06-16;20.071513639588;3;166.148257065855;1987-06-15;D
1987-06-30;7.089796688441;6;145.956808097544;1987-06-26;F
1987-07-21;146.617135887562;15;1265.70482912986;1987-07-19;F
1987-10-17;15.730598083185;4;162.196911342675;1987-10-15;A
1988-07-02;2.05453991106899;1;119.001222895982;1988-07-01;E
1988-07-04;3.556985070103;2;123.559429807297;1988-07-04;E
1988-10-15;23.18178017302;4;171.050144042238;1988-10-14;A
1989-06-23;0.976880629722999;1;117.501151092467;1989-06-22;C
1990-06-07;17.867175862179;5;168.476308538171;1990-06-05;C
1990-06-22;1.883454704472;2;119.885622571921;1990-06-21;B
1991-06-19;12.764629500408;3;144.531304940174;1991-06-16;C
1991-10-01;22.370143982354;3;171.744312863681;1991-09-29;A
1992-07-05;1.64393869985601;2;117.645866498002;1992-07-04;B
1993-10-15;149.078532178079;34;2794.50329636037;1993-10-12;A
1994-09-16;1.37309637360899;1;116.000855483464;1994-09-15;A
1996-07-09;9.91356530685199;2;124.415123693529;1996-07-08;B
1996-11-16;17.013961513646;7;192.096013166476;1996-11-14;A
1997-06-23;6.17912049920299;2;124.680606583715;1997-06-21;E
1997-07-01;119.685061640479;14;1045.94512112066;1997-06-29;E
1999-10-05;15.765902942715;4;155.800373567734;1999-10-03;G
1999-10-27;29.280538970627;5;200.626805820037;1999-10-24;G
2000-10-17;67.511809057042;9;474.102728646249;2000-10-16;G
2000-11-08;10.525765519324;3;139.052798153134;2000-11-06;G
2000-11-18;96.032096766305;15;896.48982977774;2000-11-16;G
2001-06-12;36.660794044701;11;346.636305224383;2001-06-09;C
2002-11-28;148.97975783254;22;1603.57546722982;2002-11-24;A
2008-05-19;1.513340899583;1;113.000462245429;2008-05-16;C
2008-07-08;10.536390808422;2;125.537310365587;2008-07-06;E
2008-07-15;48.539608067583;7;329.744998154696;2008-07-12;E
2010-05-07;4.83303880157601;2;119.833467792021;2010-05-05;E
2010-05-14;12.336040201057;5;149.845446636435;2010-05-12;E
2011-06-19;5.50446595143501;1;116.500411604065;2011-06-17;B
2013-05-02;2.27628409333398;2;114.776668969309;2013-04-29;E
2013-05-21;0.283588956064008;1;111.000384131912;2013-05-19;E
2014-07-09;9.93949062196299;2;124.940228987951;2014-07-07;C
2014-08-15;6.45312647043899;3;123.906988757895;2014-08-12;A
2014-11-07;0.983906959405004;1;111.500365000684;2014-11-06;G
2014-11-17;46.487555074125;11;382.374090945814;2014-11-15;G
2016-06-18;36.193074723345;6;237.969174019061;2016-06-17;B
2017-06-07;4.31343808575899;1;114.500334592303;2017-06-04;C
2017-07-01;3.32145925016201;2;115.82179314876;2017-06-28;B
2019-06-13;28.5;5;177.5;2019-06-10;B
2020-10-05;45;6;286;2020-10-02;C
