date;type;level_increase;initial_level;melting;rainfall;rainfall_cluster;single_rainfall;last_rainfall
1981-05-28;spring;172.5;0;46.7336433240568;69.3162088219692;0;56.4501478539741;56.4501478539741
1981-07-19;spring;159.5;0;22.0023572038605;45.4128613148406;92.0847814812989;0;66.841452541362
1981-09-29;fall;139;18;0.688265050188026;0;138.311734949812;0;60.3767074905337
1982-06-13;spring;187.5;-47;93.5619797950423;56.4130382219116;0;37.5249819830461;37.5249819830461
1982-09-08;fall;94;36;0.496681159815353;0;93.5033188401846;0;52.0115263439517
1983-05-24;spring;260.5;-50.5;60.8642663184379;21.4383564831187;178.197377198443;0;59.2817665781343
1985-06-08;spring;146.5;-24.5;55.5865434281706;84.1786116562214;0;6.73484491560794;6.73484491560794
1986-04-28;spring;166;-41;44.4354182930414;5.405610327395;116.158971379564;0;0
1986-05-30;spring;178.5;-41;70.8098903029914;33.4881410328444;74.2019686641642;0;5.53896603988906
1987-06-10;spring;200.5;-52.5;65.5438066827245;93.606759691866;0;41.3494336254095;41.3494336254095
1987-06-16;spring;190;-52.5;55.0405582114528;113.008231603043;0;21.9512101855043;21.9512101855043
1987-06-30;spring;177;-52.5;53.1536189727534;101.000946307582;0;22.8454347196644;22.8454347196644
1987-07-21;spring;316.5;-52.5;46.9706248386485;48.8145515778177;220.714823583534;0;50.9025649985911
1987-10-17;fall;88;45;3.52709889887053;7.83112562864463;76.6417754724848;0;24.4390389236512
1988-07-02;spring;139;-20;38.8233117675484;43.2984232321468;56.8782650003049;0;3.49836341512125
1988-07-04;spring;140.5;-20;38.127495453242;41.4331520929175;60.9393524538404;0;0
1988-10-15;fall;132;8;2.73618755586377;6.83383072142241;122.429981722714;0;15.0427979038622
1989-06-23;spring;164;-46.5;56.7910604035875;100.275584938964;0;6.93335465744813;6.93335465744813
1990-06-07;spring;160;-26;60.5879657577631;74.4237961690469;0;24.98823807319;24.98823807319
1990-06-22;spring;144;-26;44.8471513629167;21.8030187743151;77.3498298627682;0;2.82966126113786
1991-06-19;spring;148.5;-20;41.7137283733115;30.7756012630066;0;76.0106703636818;76.0106703636818
1991-10-01;fall;184.5;-46.5;6.78037625002198;0;177.719623749978;0;126.508442516478
1992-07-05;spring;141.5;-24.5;30.7962079683883;35.0280552583262;75.6757367732855;0;10.4928166604
1993-10-15;fall;300;-36;9.32428009834264;12.9860828079514;277.689637093706;0;31.16348622625
1994-09-16;fall;122;-6;0.531009511540868;0;121.468990488459;0;9.13750281588669
1996-07-09;spring;160;-36;20.0896757802117;49.2652929838954;90.6450312358929;0;23.6833415789771
1996-11-16;fall;147;-16;9.16811102038278;16.8673148462501;120.964574133367;0;36.5151605422531
1997-06-23;spring;155;-35;60.2507515253024;33.4254497658371;62.3867988780921;0;15.3934503683672
1997-07-01;spring;268.5;-35;55.1387328658014;31.6061545615637;181.755112572635;0;25.6313240341997
1999-10-05;fall;145;-16;2.0729888023844;5.30997618206586;137.61703501555;0;28.2818843453114
1999-10-27;fall;158.5;-16;7.08100611405172;2.84762374470039;148.571370141248;0;58.1348965890767
2000-10-17;fall;208.5;-28;13.3482154709065;0;195.151784529094;0;7.65230048653268
2000-11-08;fall;151.5;-28;7.17711905402609;7.23394996406324;137.088930981911;0;18.5264678400465
2000-11-18;fall;237;-28;12.2074828050963;12.6205026589045;212.172014535999;0;53.2987778505055
2001-06-12;spring;157;-7.5;65.176447626911;18.0372436224155;0;73.7863087506735;73.7863087506735
2002-11-28;fall;293.5;-32;18.7512558259839;6.80319256592996;267.945551608086;0;122.519841458458
2008-05-19;spring;139.5;-26.5;44.1306887047347;70.0724334903995;0;25.2968778048659;25.2968778048659
2008-07-08;spring;148.5;-26.5;24.5822288468951;41.0628455625969;82.854925590508;0;37.9806195094853
2008-07-15;spring;186.5;-26.5;19.7952868947086;37.6498073365172;129.054905768774;0;69.0725297725421
2010-05-07;spring;119;-3;37.8152332743954;19.912015026933;61.2727516986716;0;18.8201081169059
2010-05-14;spring;126.5;-3;40.5624146725635;15.1597584967843;70.7778268306522;0;5.23855906268487
2011-06-19;spring;108;8.5;26.0690984286962;4.05005727525526;77.8808442960485;0;17.9694223071262
2013-05-02;spring;132;-19;40.175150814455;5.691282224299;86.133566961246;0;22.4176921306376
2013-05-21;spring;130;-19;30.4303713324218;2.13305728964524;97.436571377933;0;14.2036566151329
2014-07-09;spring;72;48.5;9.06558187599585;26.5032406937037;0;36.4311774303004;36.4311774303004
2014-08-15;spring;68.5;48.5;1.29358436367083;3.33980110665103;63.9130006561594;0;32.4794084244305
2014-11-07;fall;103;8.5;2.92523006290495;14.4119234975051;85.6628464395899;0;6.82868645425839
2014-11-17;fall;148.5;8.5;5.17676506506326;10.8535254818447;132.469709453092;0;32.6079411452195
2016-06-18;spring;184;-37.5;42.1037010064013;38.1677471531319;103.728551840467;0;15.9281453987954
2017-06-07;spring;147.5;-33;47.5546847044122;70.9800754301769;0;28.965239865411;28.965239865411
2017-07-01;spring;146.5;-33;30.7275722138336;65.5564416642751;50.2159861218914;0;31.4623325082599
2019-06-13;spring;168;-29.5;57.9253553832741;53.1958516878434;56.8787929288825;0;36.5842128689819
2020-10-05;fall;166;-11;1.5164676935214;78.7845069579046;0;85.6990253485741;85.6990253485741
